epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.524,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002,0.0002,0.0002
2,399.539,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000401882,0.000401882,0.000401882
3,566.342,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000595448,0.000595448,0.000595448
4,745.816,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000780698,0.000780698,0.000780698
5,905.377,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009208,0.0009208,0.0009208
6,1059.92,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000901,0.000901,0.000901
7,1216.07,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008812,0.0008812,0.0008812
8,1368.17,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008614,0.0008614,0.0008614
9,1521.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008416,0.0008416,0.0008416
10,1673.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008218,0.0008218,0.0008218
11,1849.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000802,0.000802,0.000802
12,2027.83,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0007822,0.0007822,0.0007822
13,2188.34,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0007624,0.0007624,0.0007624
14,2355.12,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0007426,0.0007426,0.0007426
15,2516.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0007228,0.0007228,0.0007228
16,2674.01,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000703,0.000703,0.000703
17,2848.42,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0006832,0.0006832,0.0006832
18,3042.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0006634,0.0006634,0.0006634
19,3217.13,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0006436,0.0006436,0.0006436
20,3408.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0006238,0.0006238,0.0006238
21,3588.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000604,0.000604,0.000604
22,3777.46,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005842,0.0005842,0.0005842
23,3939.92,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005644,0.0005644,0.0005644
24,4093.41,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005446,0.0005446,0.0005446
25,4263.88,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005248,0.0005248,0.0005248
26,4431.12,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000505,0.000505,0.000505
27,4589.97,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004852,0.0004852,0.0004852
28,4748.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004654,0.0004654,0.0004654
29,4908.19,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004456,0.0004456,0.0004456
30,5060.04,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004258,0.0004258,0.0004258
31,5215.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000406,0.000406,0.000406
32,5371.13,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003862,0.0003862,0.0003862
33,5524.64,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003664,0.0003664,0.0003664
34,5680.31,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003466,0.0003466,0.0003466
35,5838.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003268,0.0003268,0.0003268
36,5995.53,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000307,0.000307,0.000307
37,6149.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002872,0.0002872,0.0002872
38,6304.07,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002674,0.0002674,0.0002674
39,6461.69,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002476,0.0002476,0.0002476
40,6617.85,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002278,0.0002278,0.0002278
41,6847.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000208,0.000208,0.000208
42,7022.02,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001882,0.0001882,0.0001882
43,7193.51,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001684,0.0001684,0.0001684
44,7359.57,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001486,0.0001486,0.0001486
45,7520.03,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001288,0.0001288,0.0001288
46,7686.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000109,0.000109,0.000109
47,7846.36,nan,nan,nan,0,0,0,0,nan,nan,nan,8.92e-05,8.92e-05,8.92e-05
48,8003.93,nan,nan,nan,0,0,0,0,nan,nan,nan,6.94e-05,6.94e-05,6.94e-05
49,8165.13,nan,nan,nan,0,0,0,0,nan,nan,nan,4.96e-05,4.96e-05,4.96e-05
50,8325.67,nan,nan,nan,0,0,0,0,nan,nan,nan,2.98e-05,2.98e-05,2.98e-05
